ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792651.77545,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775478,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775478,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.7755,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.7755,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775523,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775523,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775544,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775544,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775558,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775571,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775584,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775597,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77561,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775632,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775632,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775654,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775654,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775677,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.775677,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778618,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778623,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778741,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778741,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778741,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778741,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778742,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778843,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778843,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778843,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778843,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778843,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778844,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778844,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778844,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778941,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778942,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778942,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778942,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778942,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.778942,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.780447,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.780452,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.780555,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
